date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
44:21.9,6,2000,1600,20000,22000,86.50%,43.61%,86.50%,86.50%,86.50%,85.71%,85.67%,,,,,,,,,,,,,
12:02.3,7,2000,1600,20000,22000,85.00%,42.07%,85.00%,85.00%,85.00%,84.95%,85.57%,,,,,,,,,,,,,
39:38.8,8,2000,1600,20000,22000,87.00%,27.70%,87.00%,87.00%,87.00%,86.89%,85.75%,,,,,,,,,,,,,
07:11.3,9,2000,1600,20000,22000,79.50%,42.58%,79.50%,79.50%,79.50%,79.47%,85.06%,,,,,,,,,,,,,
34:44.8,10,2000,1600,20000,22000,83.50%,42.68%,83.50%,83.50%,83.50%,82.70%,84.90%,,,,,,,,,,,,,
02:33.2,1,2000,1600,22000,24000,85.50%,34.99%,85.50%,85.50%,85.50%,85.46%,85.50%,,,,,,,,,,,,,
30:17.4,2,2000,1600,22000,24000,87.00%,32.28%,87.00%,87.00%,87.00%,86.99%,86.25%,,,,,,,,,,,,,
57:45.5,3,2000,1600,22000,24000,86.50%,30.26%,86.50%,86.50%,86.50%,86.47%,86.33%,,,,,,,,,,,,,
25:49.5,4,2000,1600,22000,24000,85.50%,33.43%,85.50%,85.50%,85.50%,85.49%,86.13%,,,,,,,,,,,,,
53:25.2,5,2000,1600,22000,24000,85.50%,38.19%,85.50%,85.50%,85.50%,85.49%,86.00%,,,,,,,,,,,,,
21:00.5,6,2000,1600,22000,24000,88.00%,30.01%,88.00%,88.00%,88.00%,87.98%,86.33%,,,,,,,,,,,,,
48:32.2,7,2000,1600,22000,24000,81.50%,37.71%,81.50%,81.50%,81.50%,81.42%,85.64%,,,,,,,,,,,,,
16:03.1,8,2000,1600,22000,24000,79.50%,41.92%,79.50%,79.50%,79.50%,79.17%,84.88%,,,,,,,,,,,,,
43:25.6,9,2000,1600,22000,24000,48.50%,70.66%,48.50%,48.50%,48.50%,32.66%,80.83%,,,,,,,,,,,,,
10:52.3,10,2000,1600,22000,24000,87.00%,30.88%,87.00%,87.00%,87.00%,86.98%,81.45%,,,,,,,,,,,,,
38:37.0,1,2000,1600,24000,26000,89.50%,26.22%,89.50%,89.50%,89.50%,89.31%,89.50%,,,,,,,,,,,,,
06:00.7,2,2000,1600,24000,26000,87.00%,34.58%,87.00%,87.00%,87.00%,87.00%,88.25%,,,,,,,,,,,,,
33:30.3,3,2000,1600,24000,26000,84.50%,49.23%,84.50%,84.50%,84.50%,84.43%,87.00%,,,,,,,,,,,,,
01:05.0,4,2000,1600,24000,26000,89.50%,21.92%,89.50%,89.50%,89.50%,89.46%,87.62%,,,,,,,,,,,,,
28:37.1,5,2000,1600,24000,26000,88.00%,24.36%,88.00%,88.00%,88.00%,88.00%,87.70%,,,,,,,,,,,,,
56:01.5,6,2000,1600,24000,26000,87.50%,28.19%,87.50%,87.50%,87.50%,87.47%,87.67%,,,,,,,,,,,,,
23:27.8,7,2000,1600,24000,26000,91.00%,23.18%,91.00%,91.00%,91.00%,90.98%,88.14%,,,,,,,,,,,,,
51:08.6,8,2000,1600,24000,26000,89.50%,25.05%,89.50%,89.50%,89.50%,89.47%,88.31%,,,,,,,,,,,,,
18:43.6,9,2000,1600,24000,26000,78.00%,46.50%,78.00%,78.00%,78.00%,75.82%,87.17%,,,,,,,,,,,,,
46:29.4,10,2000,1600,24000,26000,89.00%,28.08%,89.00%,89.00%,89.00%,88.91%,87.35%,,,,,,,,,,,,,
14:13.8,1,2000,1600,26000,28000,88.50%,28.38%,88.50%,88.50%,88.50%,88.50%,88.50%,,,,,,,,,,,,,
41:37.0,2,2000,1600,26000,28000,90.00%,31.14%,90.00%,90.00%,90.00%,89.99%,89.25%,,,,,,,,,,,,,
09:13.2,3,2000,1600,26000,28000,88.00%,25.27%,88.00%,88.00%,88.00%,87.96%,88.83%,,,,,,,,,,,,,
37:01.5,4,2000,1600,26000,28000,90.50%,24.28%,90.50%,90.50%,90.50%,90.50%,89.25%,,,,,,,,,,,,,
04:34.9,5,2000,1600,26000,28000,87.00%,33.31%,87.00%,87.00%,87.00%,86.99%,88.80%,,,,,,,,,,,,,
31:51.5,6,2000,1600,26000,28000,87.00%,42.28%,87.00%,87.00%,87.00%,87.00%,88.50%,,,,,,,,,,,,,
59:17.6,7,2000,1600,26000,28000,88.50%,31.85%,88.50%,88.50%,88.50%,88.45%,88.50%,,,,,,,,,,,,,
26:58.2,8,2000,1600,26000,28000,89.00%,25.42%,89.00%,89.00%,89.00%,88.91%,88.56%,,,,,,,,,,,,,
54:24.1,9,2000,1600,26000,28000,88.00%,26.04%,88.00%,88.00%,88.00%,87.96%,88.50%,,,,,,,,,,,,,
