date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
53:25.4,3,500,546,12500,13000,83.00%,35.06%,83.00%,83.00%,83.00%,82.79%,85.00%,,,,,,,,,,,,,
58:11.7,4,500,546,12500,13000,88.00%,29.83%,88.00%,88.00%,88.00%,87.50%,85.75%,,,,,,,,,,,,,
02:58.1,5,500,546,12500,13000,87.00%,32.20%,87.00%,87.00%,87.00%,86.27%,86.00%,,,,,,,,,,,,,
07:47.7,1,500,542,13000,13500,85.00%,38.54%,85.00%,85.00%,85.00%,84.65%,85.00%,,,,,,,,,,,,,
12:32.9,2,500,542,13000,13500,84.00%,38.18%,84.00%,84.00%,84.00%,84.00%,84.50%,,,,,,,,,,,,,
17:18.4,3,500,542,13000,13500,85.00%,31.05%,85.00%,85.00%,85.00%,85.00%,84.67%,,,,,,,,,,,,,
22:03.4,4,500,542,13000,13500,81.00%,43.13%,81.00%,81.00%,81.00%,80.98%,83.75%,,,,,,,,,,,,,
26:49.0,5,500,542,13000,13500,87.00%,29.70%,87.00%,87.00%,87.00%,86.94%,84.40%,,,,,,,,,,,,,
31:37.4,1,500,539,13500,14000,83.00%,43.43%,83.00%,83.00%,83.00%,82.96%,83.00%,,,,,,,,,,,,,
36:21.4,2,500,539,13500,14000,75.00%,49.27%,75.00%,75.00%,75.00%,74.69%,79.00%,,,,,,,,,,,,,
41:05.7,3,500,539,13500,14000,85.00%,38.72%,85.00%,85.00%,85.00%,84.96%,81.00%,,,,,,,,,,,,,
45:49.9,4,500,539,13500,14000,78.00%,44.52%,78.00%,78.00%,78.00%,77.68%,80.25%,,,,,,,,,,,,,
50:34.1,5,500,539,13500,14000,81.00%,51.83%,81.00%,81.00%,81.00%,80.95%,80.40%,,,,,,,,,,,,,
55:19.7,1,500,530,14000,14500,86.00%,42.89%,86.00%,86.00%,86.00%,85.53%,86.00%,,,,,,,,,,,,,
00:00.6,2,500,530,14000,14500,84.00%,34.79%,84.00%,84.00%,84.00%,83.58%,85.00%,,,,,,,,,,,,,
04:41.9,3,500,530,14000,14500,85.00%,47.20%,85.00%,85.00%,85.00%,83.17%,85.00%,,,,,,,,,,,,,
09:22.9,4,500,530,14000,14500,73.00%,86.91%,73.00%,73.00%,73.00%,72.98%,82.00%,,,,,,,,,,,,,
14:03.7,5,500,530,14000,14500,84.00%,39.19%,84.00%,84.00%,84.00%,83.58%,82.40%,,,,,,,,,,,,,
18:46.6,1,500,525,14500,15000,82.00%,40.42%,82.00%,82.00%,82.00%,80.69%,82.00%,,,,,,,,,,,,,
23:25.9,2,500,525,14500,15000,80.00%,51.73%,80.00%,80.00%,80.00%,79.33%,81.00%,,,,,,,,,,,,,
28:04.6,3,500,525,14500,15000,79.00%,57.94%,79.00%,79.00%,79.00%,78.90%,80.33%,,,,,,,,,,,,,
32:43.7,4,500,525,14500,15000,88.00%,32.82%,88.00%,88.00%,88.00%,87.82%,82.25%,,,,,,,,,,,,,
37:24.0,5,500,525,14500,15000,87.00%,35.34%,87.00%,87.00%,87.00%,86.13%,83.20%,,,,,,,,,,,,,
42:14.0,1,500,545,15000,15500,87.00%,34.36%,87.00%,87.00%,87.00%,86.84%,87.00%,,,,,,,,,,,,,
47:01.5,2,500,545,15000,15500,77.00%,50.74%,77.00%,77.00%,77.00%,75.94%,82.00%,,,,,,,,,,,,,
51:48.3,3,500,545,15000,15500,91.00%,26.52%,91.00%,91.00%,91.00%,90.98%,85.00%,,,,,,,,,,,,,
56:35.8,4,500,545,15000,15500,50.00%,70.93%,50.00%,50.00%,50.00%,33.33%,76.25%,,,,,,,,,,,,,
01:22.0,5,500,545,15000,15500,87.00%,32.14%,87.00%,87.00%,87.00%,87.00%,78.40%,,,,,,,,,,,,,
06:14.4,1,500,547,15500,16000,83.00%,45.73%,83.00%,83.00%,83.00%,82.96%,83.00%,,,,,,,,,,,,,
11:01.8,2,500,547,15500,16000,83.00%,39.33%,83.00%,83.00%,83.00%,82.79%,83.00%,,,,,,,,,,,,,
15:50.2,3,500,547,15500,16000,82.00%,49.12%,82.00%,82.00%,82.00%,81.40%,82.67%,,,,,,,,,,,,,
20:38.3,4,500,547,15500,16000,88.00%,37.70%,88.00%,88.00%,88.00%,87.96%,84.00%,,,,,,,,,,,,,
25:27.6,5,500,547,15500,16000,86.00%,44.26%,86.00%,86.00%,86.00%,85.86%,84.40%,,,,,,,,,,,,,
30:16.6,1,500,541,16000,16500,89.00%,32.92%,89.00%,89.00%,89.00%,88.95%,89.00%,,,,,,,,,,,,,
35:02.2,2,500,541,16000,16500,79.00%,53.66%,79.00%,79.00%,79.00%,78.64%,84.00%,,,,,,,,,,,,,
39:48.8,3,500,541,16000,16500,87.00%,37.45%,87.00%,87.00%,87.00%,86.97%,85.00%,,,,,,,,,,,,,
